data_source,sttsAccmlTrgtYr,areaNm,sexNm,rchnAggr,isuKindNm,joinCnt,joinRto,taxPrqlYn,pymtMthNm,offrTyNm,yerUnitPymtTerm
국민보험가입현황,2018,전남,남자,10대,상해,926,1,,,,
국민보험가입현황,2018,전남,여자,10대,상해,676,.8,,,,
국민보험가입현황,2018,전남,남자,10대,질병,9849,5.5,,,,
국민보험가입현황,2018,전남,여자,10대,질병,9987,6.6,,,,
국민보험가입현황,2018,전남,남자,10대,건강,2145,3.1,,,,
국민보험가입현황,2018,전남,여자,10대,건강,2177,3.5,,,,
국민보험가입현황,2018,전남,남자,10대,변액,3296,2.8,,,,
국민보험가입현황,2018,제주,여자,20대,변액,5570,12.1,,,,
국민보험가입현황,2018,세종/기타,남자,20대,종신,13870,27.3,,,,
국민보험가입현황,2018,울산,여자,30대,정기,3013,3.7,,,,
국민보험가입현황,2018,울산,남자,30대,상해,5933,6.7,,,,
국민보험가입현황,2018,울산,여자,30대,상해,5575,6.8,,,,
국민보험가입현황,2018,울산,남자,30대,질병,38117,26.6,,,,
국민보험가입현황,2018,울산,여자,30대,질병,43035,32.5,,,,
국민보험가입현황,2018,울산,남자,30대,건강,6973,8.4,,,,
국민보험가입현황,2018,울산,여자,30대,건강,8045,10.2,,,,
국민보험가입현황,2018,울산,남자,30대,암,15441,16.3,,,,
국민보험가입현황,2018,울산,여자,30대,암,17170,19.8,,,,
국민보험가입현황,2018,울산,남자,30대,변액,21324,18.7,,,,
국민보험가입현황,2018,울산,여자,30대,변액,21151,19.7,,,,
국민보험가입현황,2018,경기,남자,30대,연금,184328,15.6,,,,
국민보험가입현황,2018,경기,남자,30대,정기,43609,4.6,,,,
국민보험가입현황,2018,경기,여자,30대,정기,34821,3.9,,,,
국민보험가입현황,2018,경기,남자,30대,상해,58213,5.9,,,,
국민보험가입현황,2018,경기,여자,30대,상해,59454,6,,,,
국민보험가입현황,2018,경기,남자,30대,질병,395542,24.8,,,,
국민보험가입현황,2018,경기,여자,30대,질병,470189,30,,,,
국민보험가입현황,2018,경기,남자,30대,건강,68156,7.4,,,,
국민보험가입현황,2018,경기,여자,30대,건강,84934,9.2,,,,
국민보험가입현황,2018,경기,남자,30대,암,165764,15.8,,,,
국민보험가입현황,2018,울산,여자,60대,변액,6062,7.4,,,,
국민보험가입현황,2018,경기,남자,60대,연금,99855,11.8,,,,
국민보험가입현황,2018,울산,남자,30대,정기,4000,4.4,,,,
국민보험가입현황,2018,울산,여자,30대,종신,39132,37.7,,,,
국민보험가입현황,2018,광주,남자,30대,건강,10162,11,,,,
국민보험가입현황,2018,광주,여자,30대,건강,12435,13.1,,,,
국민보험가입현황,2018,광주,남자,30대,암,25129,22.9,,,,
국민보험가입현황,2018,광주,여자,30대,암,28960,26.7,,,,
국민보험가입현황,2018,광주,남자,30대,변액,22507,17.4,,,,
국민보험가입현황,2018,광주,여자,30대,변액,23796,18.2,,,,
국민보험가입현황,2018,대전,남자,30대,연금,20041,15.9,,,,
국민보험가입현황,2018,대전,여자,30대,연금,21778,17.7,,,,
국민보험가입현황,2018,대전,남자,30대,종신,48902,37,,,,
국민보험가입현황,2018,대전,여자,30대,종신,46885,37.6,,,,
국민보험가입현황,2018,대전,남자,30대,정기,4995,5,,,,
국민보험가입현황,2018,대전,여자,30대,정기,4077,4.3,,,,
국민보험가입현황,2018,대전,남자,30대,질병,43449,25.8,,,,
국민보험가입현황,2018,대전,여자,30대,질병,50599,30.9,,,,
국민보험가입현황,2018,대전,남자,30대,건강,9285,9.5,,,,
국민보험가입현황,2018,대전,여자,30대,건강,11191,11.6,,,,
국민보험가입현황,2018,대전,남자,30대,암,20773,18.4,,,,
국민보험가입현황,2018,대전,여자,30대,암,23200,21.6,,,,
국민보험가입현황,2018,대전,남자,30대,변액,25799,18.8,,,,
국민보험가입현황,2018,대전,여자,30대,변액,26047,19.3,,,,
국민보험가입현황,2018,울산,남자,30대,연금,18023,17.5,,,,
국민보험가입현황,2018,울산,여자,30대,연금,16966,18,,,,
국민보험가입현황,2018,울산,남자,30대,종신,43133,37.9,,,,
국민보험가입현황,2018,경기,여자,60대,연금,116816,13.5,,,,
국민보험가입현황,2018,대구,남자,70대,종신,4481,5.7,,,,
국민보험가입현황,2018,경기,여자,30대,암,190422,18.7,,,,
국민보험가입현황,2018,충북,남자,30대,정기,5254,5.3,,,,
국민보험가입현황,2018,충북,여자,30대,정기,4123,4.7,,,,
국민보험가입현황,2018,충북,남자,30대,상해,8166,8.2,,,,
국민보험가입현황,2018,충북,여자,30대,상해,7720,7.8,,,,
국민보험가입현황,2018,충북,남자,30대,질병,44419,26.7,,,,
국민보험가입현황,2018,충북,여자,30대,질병,48929,31.8,,,,
국민보험가입현황,2018,충북,남자,30대,건강,9083,9.4,,,,
국민보험가입현황,2018,충북,여자,30대,건강,10352,11.2,,,,
국민보험가입현황,2018,충북,남자,30대,암,19525,17.4,,,,
국민보험가입현황,2018,충북,여자,30대,암,20644,20,,,,
국민보험가입현황,2018,충북,남자,30대,변액,22912,16.9,,,,
국민보험가입현황,2018,충북,여자,30대,변액,21767,17.2,,,,
국민보험가입현황,2018,충남,남자,30대,종신,62161,33.6,,,,
국민보험가입현황,2018,충남,여자,30대,종신,54536,33.7,,,,
국민보험가입현황,2018,충남,남자,30대,정기,6515,4.6,,,,
국민보험가입현황,2018,충남,여자,30대,정기,4892,4,,,,
국민보험가입현황,2018,충남,남자,30대,상해,9897,7.8,,,,
국민보험가입현황,2018,충남,여자,30대,상해,9113,6.9,,,,
국민보험가입현황,2018,충남,남자,30대,질병,56994,24.2,,,,
국민보험가입현황,2018,충남,여자,30대,질병,60995,29.4,,,,
국민보험가입현황,2018,충남,남자,30대,건강,11452,8.5,,,,
국민보험가입현황,2018,충북,남자,70대,건강,3262,6.9,,,,
국민보험가입현황,2018,충북,여자,70대,건강,6174,9.6,,,,
국민보험가입현황,2018,충북,여자,30대,종신,44779,36.6,,,,
국민보험가입현황,2018,충북,남자,30대,종신,48780,36.2,,,,
국민보험가입현황,2018,경기,남자,30대,변액,212206,16.6,,,,
국민보험가입현황,2018,경기,여자,30대,변액,214694,17.1,,,,
국민보험가입현황,2018,강원,남자,30대,연금,15203,14.4,,,,
국민보험가입현황,2018,강원,여자,30대,연금,15528,15.4,,,,
국민보험가입현황,2018,강원,남자,30대,종신,39575,35.3,,,,
국민보험가입현황,2018,강원,여자,30대,종신,34265,33.5,,,,
국민보험가입현황,2018,강원,남자,30대,정기,3868,4.6,,,,
국민보험가입현황,2018,강원,여자,30대,정기,3171,4.1,,,,
국민보험가입현황,2018,대구,여자,70대,종신,10588,9.8,,,,
국민보험가입현황,2018,경기,여자,70대,정기,19758,4.6,,,,
국민보험가입현황,2018,경기,남자,70대,상해,20640,14.1,,,,
국민보험가입현황,2018,강원,남자,30대,상해,6520,7.8,,,,
국민보험가입현황,2018,강원,여자,30대,상해,5980,7.1,,,,
국민보험가입현황,2018,강원,남자,30대,질병,36490,25,,,,
국민보험가입현황,2018,강원,여자,30대,질병,38765,28.5,,,,
국민보험가입현황,2018,강원,남자,30대,건강,6914,8.5,,,,
국민보험가입현황,2018,강원,여자,30대,건강,7739,9.8,,,,
국민보험가입현황,2018,강원,남자,30대,암,15673,16.4,,,,
국민보험가입현황,2018,강원,여자,30대,암,16135,18.3,,,,
국민보험가입현황,2018,강원,남자,30대,변액,17900,15.5,,,,
국민보험가입현황,2018,강원,여자,30대,변액,15988,14.7,,,,
국민보험가입현황,2018,충북,남자,30대,연금,19694,15.4,,,,
국민보험가입현황,2018,충북,여자,30대,연금,20431,17.3,,,,
국민보험가입현황,2018,광주,여자,30대,질병,66170,38.7,,,,
국민보험가입현황,2018,충남,남자,20대,종신,39597,25.7,,,,
국민보험가입현황,2018,서울,남자,30대,상해,54357,6.8,,,,
국민보험가입현황,2018,서울,여자,30대,상해,53445,6.6,,,,
국민보험가입현황,2018,서울,남자,30대,질병,350537,28.2,,,,
국민보험가입현황,2018,서울,여자,30대,질병,428704,33,,,,
국민보험가입현황,2018,서울,남자,30대,건강,62090,8.5,,,,
국민보험가입현황,2018,서울,여자,30대,건강,74450,9.9,,,,
국민보험가입현황,2018,서울,남자,30대,암,145811,17.7,,,,
국민보험가입현황,2018,서울,여자,30대,암,172666,20.6,,,,
국민보험가입현황,2018,서울,남자,30대,변액,210890,20.6,,,,
국민보험가입현황,2018,서울,여자,30대,변액,222694,21.4,,,,
국민보험가입현황,2018,부산,남자,30대,연금,44161,15.9,,,,
국민보험가입현황,2018,울산,남자,20대,질병,25203,20.5,,,,
국민보험가입현황,2018,울산,여자,20대,질병,24681,25.1,,,,
국민보험가입현황,2018,울산,남자,20대,건강,5193,6.8,,,,
국민보험가입현황,2018,울산,여자,20대,건강,4617,7.6,,,,
국민보험가입현황,2018,울산,남자,20대,암,7896,9.2,,,,
국민보험가입현황,2018,울산,여자,20대,암,7845,11,,,,
국민보험가입현황,2018,울산,남자,20대,변액,17802,16.4,,,,
국민보험가입현황,2018,울산,여자,20대,변액,13373,15.7,,,,
국민보험가입현황,2018,경기,남자,20대,연금,62668,7.1,,,,
국민보험가입현황,2018,경기,여자,20대,연금,72964,8.7,,,,
국민보험가입현황,2018,경기,남자,20대,종신,258397,23.7,,,,
국민보험가입현황,2018,경기,여자,20대,종신,226711,22.7,,,,
국민보험가입현황,2018,서울,여자,30대,정기,33510,4.2,,,,
국민보험가입현황,2018,세종/기타,여자,30대,상해,3601,4.6,,,,
국민보험가입현황,2018,세종/기타,여자,20대,종신,11325,25,,,,
국민보험가입현황,2018,세종/기타,남자,20대,정기,1118,3.8,,,,
국민보험가입현황,2018,세종/기타,여자,20대,정기,902,3,,,,
국민보험가입현황,2018,세종/기타,남자,20대,상해,1381,2.3,,,,
국민보험가입현황,2018,세종/기타,여자,20대,상해,1026,2.1,,,,
국민보험가입현황,2018,세종/기타,남자,20대,질병,20139,12.7,,,,
국민보험가입현황,2018,세종/기타,여자,20대,질병,19680,15.9,,,,
